source	target	money	time
378284375180300	61934773735045	100000.0	412
115663576578720	146886002385932	100000.0	315
635444094402215	308342482753604	100000.0	319
876634571237972	954496032902557	99900.0	619
67982335458611	635444094402215	99900.0	319
146886002385932	164405788428689	99400.0	120
359033498249886	923354662575651	50000.0	617
310594572248317	680334678304503	50000.0	715
517234328574829	6186125247575	50000.0	515
571108886909621	566312259465867	50000.0	315
680334678304503	358821487816677	50000.0	715
407666711865142	610875279289128	50000.0	315
861127698092378	378284375180300	50000.0	412
923354662575651	568414032381741	50000.0	617
585727995499833	478417038911150	50000.0	516
407666711865142	746208357473558	50000.0	120
358821487816677	369689488957492	50000.0	715
388441127602807	833434750644197	50000.0	412
201952697490743	415164819035925	50000.0	315
172482973465479	388441127602807	50000.0	412
164405788428689	67982335458611	50000.0	412
32465833335007	876634571237972	50000.0	715
252079268828621	166652549825701	50000.0	515
256893174816907	6186125247575	50000.0	421
388441127602807	115663576578720	50000.0	315
794451385958220	310594572248317	50000.0	715
866026049943148	256893174816907	50000.0	515
954496032902557	794451385958220	50000.0	715
415164819035925	2366411050781	50000.0	216
256893174816907	476219240621487	50000.0	515
925101947441543	517234328574829	50000.0	515
847973377307591	849322028905165	50000.0	415
849322028905165	925101947441543	50000.0	415
53635007574025	252079268828621	50000.0	515
388441127602807	415164819035925	50000.0	216
510528487973166	293118807654005	50000.0	515
61934773735045	510528487973166	50000.0	412
925101947441543	585727995499833	50000.0	415
404524527590560	670363543541609	50000.0	617
267787136196883	359033498249886	50000.0	617
369689488957492	530828786192938	50000.0	715
146886002385932	407666711865142	50000.0	315
532040020329497	236524016567204	50000.0	517
964575425349012	378284375180300	50000.0	515
530828786192938	872236963566324	50000.0	715
357126224562740	388441127602807	50000.0	216
568414032381741	404524527590560	50000.0	617
818016075614793	532040020329497	50000.0	517
833434750644197	114172737925384	50000.0	412
583549994656873	510528487973166	50000.0	515
345420241133042	164405788428689	50000.0	315
856248935834517	828989708038826	50000.0	415
849322028905165	964575425349012	50000.0	515
974067073915520	847973377307591	50000.0	415
293118807654005	32600002412746	50000.0	515
566312259465867	345420241133042	50000.0	315
670363543541609	310594572248317	50000.0	617
872236963566324	219792065744254	50000.0	715
828989708038826	974067073915520	50000.0	415
610875279289128	267787136196883	49975.0	617
310594572248317	478417038911150	49901.0	617
219792065744254	902470180368633	49900.0	715
666745889132664	2366411050781	49900.0	521
568414032381741	818016075614793	49900.0	517
811911175966287	924987466580773	49900.0	516
924987466580773	970449651449630	49900.0	516
166652549825701	811911175966287	49900.0	515
32600002412746	53635007574025	49750.0	515
478417038911150	998338428655114	40000.0	716
998338428655114	210136844261927	40000.0	716
970449651449630	945693795815764	19900.0	516
302136179471154	466580567238525	19900.0	715
902470180368633	302136179471154	19900.0	715
2366411050781	369904438796141	10000.0	616
87732064936142	847973377307591	1850.0	415
